id;url;price;rooms;is_apartments;total_area;living_area;kitchen_area;floor;total_floors;material;price_per_sqm;first_floor;last_floor;is_brick;is_panel;is_monolith;repair;has_balcony;log_total_area;log_price
331383136;https://www.cian.ru/sale/flat/331383136;4310000.0;1.0;0;41.6;20.7;9.7;2;10;Кирпичный;103605.76923076923;0;0;1;0;0;0.0;1;3.728100167267218;15.27644846207993
331358724;https://www.cian.ru/sale/flat/331358724;4700000.0;1.0;0;38.0;18.0;15.0;4;16;Кирпичный;123684.21052631579;0;0;1;0;0;2.0;1;3.6375861597263857;15.363073066680286
331359566;https://www.cian.ru/sale/flat/331359566;2400000.0;1.0;0;30.0;19.0;6.0;1;9;;80000.0;1;0;0;0;0;0.0;0;3.4011973816621555;14.690979295318174
327896485;https://www.cian.ru/sale/flat/327896485;3500000.0;2.0;0;46.5;29.0;6.0;1;4;Панельный;75268.81720430107;1;0;0;1;0;1.0;0;3.8394523125933104;15.068273526459642
327642764;https://www.cian.ru/sale/flat/327642764;5500000.0;1.0;0;32.1;10.5;13.4;13;25;Монолитно-кирпичный;171339.56386292833;0;0;0;0;1;2.0;0;3.4688560301359703;15.520258650202699
326743230;https://www.cian.ru/sale/flat/326743230;9399000.0;3.0;0;84.0;48.0;14.0;7;30;Монолитно-кирпичный;111892.85714285714;0;0;0;0;1;0.0;1;4.430816798843313;16.056113858602437
327394386;https://www.cian.ru/sale/flat/327394386;3540000.0;1.0;0;35.2;23.0;6.5;1;5;Кирпичный;100568.18181818181;1;0;1;0;0;1.0;0;3.5610460826040513;15.079637285109957
330352305;https://www.cian.ru/sale/flat/330352305;3300000.0;1.0;0;33.2;17.0;7.0;8;10;Панельный;99397.59036144578;0;0;0;1;0;1.0;1;3.502549875922443;15.009433026436708
328054399;https://www.cian.ru/sale/flat/328054399;4150000.0;1.0;0;33.5;12.9;13.0;1;16;Кирпичный;123880.59701492537;1;0;1;0;0;0.0;1;3.5115454388310208;15.238618892206881
326952411;https://www.cian.ru/sale/flat/326952411;4800000.0;3.0;0;55.8;40.8;6.0;4;5;Кирпичный;86021.5053763441;0;0;1;0;0;1.0;1;4.021773869387265;15.38412647587812
324303337;https://www.cian.ru/sale/flat/324303337;10490000.0;3.0;0;80.9;44.8;15.8;4;5;Кирпичный;129666.25463535228;0;0;1;0;0;1.0;1;4.393213824064446;16.16593298037248
321136407;https://www.cian.ru/sale/flat/321136407;4500000.0;3.0;0;59.0;38.0;8.0;3;3;;76271.18644067796;0;1;0;0;0;1.0;1;4.07753744390572;15.319587954740548
327934666;https://www.cian.ru/sale/flat/327934666;10450000.0;3.0;0;88.8;39.5;24.3;8;24;Монолитно-кирпичный;117680.18018018018;0;0;0;0;1;0.0;1;4.486386649998124;16.162112536375094
325303325;https://www.cian.ru/sale/flat/325303325;1440000.0;1.0;0;33.0;11.0;16.2;4;9;Кирпичный;43636.36363636364;0;0;1;0;0;1.0;0;3.4965075614664802;14.180153671552183
329266945;https://www.cian.ru/sale/flat/329266945;3200000.0;2.0;0;43.0;27.0;6.0;1;5;Панельный;74418.6046511628;1;0;0;1;0;1.0;0;3.7612001156935624;14.978661367769956
324129051;https://www.cian.ru/sale/flat/324129051;1700000.0;1.0;0;22.1;;7.0;5;5;Кирпичный;76923.07692307692;0;1;1;0;0;1.0;1;3.095577608523707;14.346138809026444
327486228;https://www.cian.ru/sale/flat/327486228;1800000.0;1.0;0;22.8;14.8;3.0;2;5;Кирпичный;78947.36842105263;0;0;1;0;0;1.0;0;3.126760535960395;14.403297222866392
302780988;https://www.cian.ru/sale/flat/302780988;3800000.0;3.0;0;73.4;50.7;8.2;1;4;Кирпичный;51771.11716621253;1;0;1;0;0;1.0;0;4.29592393562047;15.150511624696614
331219624;https://www.cian.ru/sale/flat/331219624;3980000.0;2.0;0;38.0;26.0;5.5;5;5;Кирпичный;104736.84210526316;0;1;1;0;0;0.0;1;3.6375861597263857;15.196792377260621
327892931;https://www.cian.ru/sale/flat/327892931;5450000.0;3.0;0;83.6;33.0;14.2;1;9;Панельный;65191.387559808616;1;0;0;1;0;1.0;1;4.426043520090656;15.511126166639427
